score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST004133,GCST90446794,GCST90446795,FINNGEN_R12_K11_UC_STRICT2,GCST003097_2,GCST005537,GCST000964,GCST010001,GCST90473823,GCST90454275,GCST90044155,GCST90475322,GCST90436337,GCST000527,GCST90479622,GCST90018933,GCST90476067,GCST90129459,FINNGEN_R12_ULCERNAS,GCST90038684,GCST000624,GCST90468152,GCST90480319,GCST000623,GCST000243,FINNGEN_R12_ULCEROTH,GCST000529,GCST001728,GCST001118,GCST001938,GCST000311,GCST008658,GCST90480318,GCST90479621,GCST90018713,GCST90454587,GCST003960,GCST90179177,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.33683881952706,ENSG00000091972,CD200,protein_coding,0.544274845267831,NA,NA,GCST90179177,0.895290791988373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8952908,1,CD200,4345,GWAS,1,114,5
0.335282571827177,ENSG00000159339,PADI4,protein_coding,0.512650168364421,NA,NA,GCST90480318,0.843270599842072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8432706,NA,NA,NA,NA,NA,1,PADI4,23569,GWAS,1,71,8
0.335005914579707,ENSG00000161896,IP6K3,protein_coding,0.551059291445416,NA,NA,GCST90446794,0.823961734771729,NA,0.8239617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,IP6K3,117283,GWAS,1,19,0
0.333604532491456,ENSG00000157873,TNFRSF14,protein_coding,0.543022864481269,NA,NA,GCST001728/GCST005537,0.695218086242676/0.692779183387756,NA,NA,NA,NA,NA,0.6927792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6952181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,TNFRSF14,8764,GWAS,1,146,12
0.330481551654913,ENSG00000005108,THSD7A,protein_coding,0.536996691597051,NA,NA,GCST90454587,0.883318781852722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8833188,NA,NA,1,THSD7A,221981,GWAS,1,17,0
0.330301464815718,ENSG00000180316,PNPLA1,protein_coding,0.54144110693248,NA,NA,GCST90446795,0.854522943496704,NA,NA,0.8545229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,PNPLA1,285848,GWAS,1,27,0
0.330081688903831,ENSG00000186487,MYT1L,protein_coding,0.539767620223908,NA,NA,GCST90480318,0.887876749038696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8878767,NA,NA,NA,NA,NA,1,MYT1L,23040,GWAS,1,70,0
0.328421284698033,ENSG00000272325,NUDT3,protein_coding,0.540228075281433,NA,NA,GCST90446795,0.841797649860382,NA,NA,0.8417976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NUDT3,11165,GWAS,1,82,1
0.328259929500317,ENSG00000174080,CTSF,protein_coding,0.53570714265011,NA,NA,GCST90454587,0.881197571754456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8811976,NA,NA,1,CTSF,8722,GWAS,1,58,0
0.328141359887647,ENSG00000041515,MYO16,protein_coding,0.539767620223908,NA,NA,GCST90480318,0.887876749038696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8878767,NA,NA,NA,NA,NA,1,MYO16,23026,GWAS,1,13,0
0.326138601056928,ENSG00000119042,SATB2,protein_coding,0.514525037257095,NA,NA,GCST004133,0.673351526260376,0.6733515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SATB2,23314,GWAS,1,129,0
0.325470079414898,ENSG00000010030,ETV7,protein_coding,0.524003909812182,NA,NA,GCST90446795,0.861946642398834,NA,NA,0.8619466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ETV7,51513,GWAS,1,32,0
0.325046104250227,ENSG00000115138,POMC,protein_coding,0.521987549221492,NA,NA,GCST90446794,0.858629882335663,NA,0.8586299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,POMC,5443,GWAS,1,437,4
0.324825334520533,ENSG00000153064,BANK1,protein_coding,0.529583995517593,NA,NA,GCST005537,0.871125459671021,NA,NA,NA,NA,NA,0.8711255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,BANK1,55024,GWAS,1,51,4
