score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST009600,GCST012091,GCST010641,GCST010416,GCST012088,GCST011102,GCST008103,GCST90020094,GCST003962,GCST001358,GCST012464,GCST012465,GCST90454587,GCST90454586,GCST002295_2,GCST007255,GCST008115,GCST001877,GCST000220,GCST006865,GCST002385,GCST009371,GCST90454588,GCST90446210,GCST002254,GCST90101737,GCST90479686,GCST90479737,GCST011767,GCST90446212,GCST90446211,GCST004139,GCST90479577,GCST90446209,GCST90446213,GCST002306,GCST90479698,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.325585961134739,ENSG00000172264,MACROD2,protein_coding,0.534956252517116,NA,NA,GCST90446210/GCST011767,0.718211114406586/0.647005200386047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7182111,NA,NA,NA,NA,0.6470052,NA,NA,NA,NA,NA,NA,NA,NA,2,MACROD2,140733,GWAS,1,51,2
0.323569354012911,ENSG00000069849,ATP1B3,protein_coding,0.529207363738497,NA,NA,GCST90446210,0.870505928993225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8705059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ATP1B3,483,GWAS,1,72,1
0.322254000099809,ENSG00000149485,FADS1,protein_coding,0.523579392619186,NA,NA,GCST90454588/GCST012464/GCST012465/GCST008103/GCST009600,0.590570509433746/0.532558679580688/0.531143069267273/0.510555267333984/0.50726991891861,0.5072699,NA,NA,NA,NA,NA,0.5105553,NA,NA,NA,0.5325587,0.5311431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5905705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FADS1,3992,GWAS,1,59,0
0.319921403512531,ENSG00000020633,RUNX3,protein_coding,0.526246416153627,NA,NA,GCST90479577,0.865635395050049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8656354,NA,NA,NA,NA,1,RUNX3,864,GWAS,1,262,3
0.318850369287618,ENSG00000103569,AQP9,protein_coding,0.524484646180595,NA,NA,GCST90479577,0.862737417221069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8627374,NA,NA,NA,NA,1,AQP9,366,GWAS,1,89,0
0.318850369287618,ENSG00000170279,C7orf33,protein_coding,0.524484646180595,NA,NA,GCST90479737,0.862737417221069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8627374,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,C7orf33,202865,GWAS,1,19,0
0.318719433591328,ENSG00000174891,RSRC1,protein_coding,0.524269266902551,NA,NA,GCST009600,0.765109241008759,0.7651092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,RSRC1,51319,GWAS,1,397,3
0.31842316717483,ENSG00000196776,CD47,protein_coding,0.52378193114384,NA,NA,GCST011102,0.86158150434494,NA,NA,NA,NA,NA,0.8615815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,CD47,961,GWAS,1,270,2
0.318331968456378,ENSG00000080854,IGSF9B,protein_coding,0.523631916176988,NA,NA,GCST009600,0.86133474111557,0.8613347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,IGSF9B,22997,GWAS,1,13,0
0.318119697397204,ENSG00000185046,ANKS1B,protein_coding,0.522674815605435,NA,NA,GCST010641/GCST90020094/GCST012091,0.606585443019867/0.606585443019867/0.546083152294159,NA,0.5460832,0.6065854,NA,NA,NA,NA,0.6065854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,ANKS1B,56899,GWAS,1,43,2
