score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST004132,GCST90446792,GCST90468121,GCST90129433,FINNGEN_R12_CHRONSMALL,GCST000705,GCST001729,GCST005537,GCST90479616,FINNGEN_R12_CHRONNAS,GCST000207,FINNGEN_R12_K11_CD_STRICT2,FINNGEN_R12_CHRONOTH,GCST000042,GCST000023,GCST001652,GCST90475318,GCST000879,GCST000066,GCST000071,GCST90044153,GCST001438,GCST90103740,GCST90446793,FINNGEN_R12_RX_CROHN_2NDLINE,GCST003097_2,GCST90319897,GCST90103738,GCST002094,GCST000014,FINNGEN_R12_RX_CROHN_1STLINE,GCST001396,FINNGEN_R12_CHRONLARGE,GCST001785,GCST90103739,GCST008485,GCST003360,GCST010577,GCST007216,GCST001118,GCST000039,GCST90428830,GCST90454588,GCST000955,GCST90301326,FINNGEN_R12_ULCERILEO,GCST010124,GCST90301328,GCST003959,GCST90479615,GCST001473,GCST90179177,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.467221464111525,ENSG00000173531,MST1,protein_coding,0.738546161528078,NA,NA,GCST005537/GCST000879/GCST000207/FINNGEN_R12_ULCERILEO/FINNGEN_R12_CHRONOTH/GCST004132,0.871540427207947/0.724249362945557/0.673159182071686/0.663121402263641/0.657331883907318/0.644454300403595,0.6444543,NA,NA,NA,NA,NA,NA,0.8715404,NA,NA,0.6731592,NA,0.6573319,NA,NA,NA,NA,0.7242494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6631214,NA,NA,NA,NA,NA,NA,6,MST1,4485,GWAS,1,25,1
0.465566746511038,ENSG00000163362,INAVA,protein_coding,0.750511921950927,NA,NA,GCST005537/GCST90446792/GCST004132,0.929239392280579/0.810890436172485/0.79200679063797,0.7920068,0.8108904,NA,NA,NA,NA,NA,0.9292394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,INAVA,55765,GWAS,1,17,0
0.464410637218704,ENSG00000151773,CCDC122,protein_coding,0.763920234084594,NA,NA,GCST90446793,0.8599773645401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8599774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,CCDC122,160857,GWAS,1,20,4
0.459751533574925,ENSG00000081985,IL12RB2,protein_coding,0.752718359387868,NA,NA,FINNGEN_R12_CHRONOTH/GCST010124/FINNGEN_R12_CHRONSMALL,0.831975519657135/0.826545536518097/0.756994545459747,NA,NA,NA,NA,0.7569945,NA,NA,NA,NA,NA,NA,NA,0.8319755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8265455,NA,NA,NA,NA,NA,3,IL12RB2,3595,GWAS,1,140,22
0.459751337130454,ENSG00000079263,SP140,protein_coding,0.750313323584217,NA,NA,GCST001729/GCST004132/GCST90446792/GCST000879/GCST005537,0.844324111938477/0.842686116695404/0.841817796230316/0.841075122356415/0.82775741815567,0.8426861,0.8418178,NA,NA,NA,NA,0.8443241,0.8277574,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8410751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,SP140,11262,GWAS,1,32,2
0.459529875493286,ENSG00000237693,IRGM,protein_coding,0.743884508838798,NA,NA,GCST90446792/GCST005537/GCST004132/GCST000039,0.845898449420929/0.791418373584747/0.753634929656982/0.733369708061218,0.7536349,0.8458984,NA,NA,NA,NA,NA,0.7914184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7333697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,IRGM,345611,GWAS,1,85,14
0.459445512646738,ENSG00000162927,PUS10,protein_coding,0.752257379094753,NA,NA,GCST000955/GCST005537/GCST004132/GCST90446792/GCST000879/GCST001438,0.856804013252258/0.791160404682159/0.788526058197021/0.77260559797287/0.692321419715881/0.691827833652496,0.7885261,0.7726056,NA,NA,NA,NA,NA,0.7911604,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6923214,NA,NA,NA,0.6918278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.856804,NA,NA,NA,NA,NA,NA,NA,NA,6,PUS10,150962,GWAS,1,36,3
0.457407441329724,ENSG00000128604,IRF5,protein_coding,0.744404854321199,NA,NA,GCST005537/FINNGEN_R12_RX_CROHN_1STLINE/FINNGEN_R12_RX_CROHN_2NDLINE,0.900340437889099/0.897643446922302/0.897643446922302,NA,NA,NA,NA,NA,NA,NA,0.9003404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8976434,NA,NA,NA,NA,NA,0.8976434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,IRF5,3663,GWAS,1,186,24
0.456859668767364,ENSG00000166949,SMAD3,protein_coding,0.747290628164969,NA,NA,GCST90446792/GCST003097_2/GCST000879/GCST005537/GCST004132/FINNGEN_R12_RX_CROHN_1STLINE/GCST90446792,0.845348238945007/0.7606360912323/0.74602198600769/0.744301319122314/0.738897740840912/0.728857636451721/0.711330950260162,0.7388977,0.711331,NA,NA,NA,NA,NA,0.7443013,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.746022,NA,NA,NA,NA,NA,NA,NA,0.7606361,NA,NA,NA,NA,0.7288576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,SMAD3,4088,GWAS,1,500,23
0.453624616528557,ENSG00000131507,NDFIP1,protein_coding,0.746178049065309,NA,NA,GCST004132/GCST90446792/GCST005537/GCST000879/GCST90446792/FINNGEN_R12_RX_CROHN_1STLINE,0.826727747917175/0.825219511985779/0.824514150619507/0.80609917640686/0.786175310611725/0.753577589988708,0.8267277,0.7861753,NA,NA,NA,NA,NA,0.8245142,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8060992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7535776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NDFIP1,80762,GWAS,1,30,0
