score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST006959,GCST005537,GCST90013534,GCST002318,GCST005529,GCST90132222,FINNGEN_R12_M13_RHEUMA,FINNGEN_R12_RHEUMA_SEROPOS_WIDE,GCST007278,GCST90131437,GCST90131438,GCST90480459,FINNGEN_R12_M13_PSORIARTH,GCST90476230,GCST90480500,GCST006048,GCST005568,GCST90476228,GCST90476191,FINNGEN_R12_RHEUMA_SEROPOS_STRICT,GCST90014459,GCST90255369,GCST90255368,GCST90255367,GCST90446530,GCST90014458,GCST90132226,GCST90132223,GCST90132224,GCST90474002,GCST90480501,GCST90480502,GCST011389,GCST90132225,GCST009877,GCST90132227,GCST000679,FINNGEN_R12_RHEUMA_OTHER_WIDE,FINNGEN_R12_RHEUMA_NOS,FINNGEN_R12_RHEUMA_SERONEG,GCST005569,GCST002323,GCST90131439,GCST90018910,GCST000420,GCST003620,GCST90044540,GCST90454274,GCST007843,GCST90436650,GCST90436651,GCST000070,GCST90479436,GCST90480693,GCST000040,GCST90302862,GCST90302861,GCST003097_2,GCST90129453,GCST000232,GCST90570209,GCST90038685,GCST008644,GCST90428109,GCST003270,GCST007043,GCST90014455,GCST000835,GCST90014454,GCST90018690,GCST90013684,GCST001149,FINNGEN_R12_M13_ANKYLOSPON,GCST000563,GCST001454,GCST001681,GCST90302863,GCST007844,FINNGEN_R12_M13_ANKYLOSPON_STRICT,GCST000122,GCST90428832,GCST000677,GCST002433,GCST002434,GCST90668066,GCST005826,GCST90668064,GCST90668065,GCST005567,GCST010730,GCST001042,FINNGEN_R12_FELTY,GCST90014439,GCST90014438,GCST90479433,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.478105833143921,ENSG00000081985,IL12RB2,protein_coding,0.784623999070036,NA,NA,GCST90132226/GCST007278/GCST010730/GCST90132223/GCST90132225/GCST90132222,0.868285775184631/0.855402231216431/0.849766850471497/0.827491819858551/0.814453840255737/0.801144182682037,NA,NA,NA,NA,NA,0.8011442,NA,NA,0.8554022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8682858,0.8274918,NA,NA,NA,NA,NA,0.8144538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8497669,NA,NA,NA,NA,NA,6,IL12RB2,3595,GWAS,1,140,20
0.474410851361319,ENSG00000137265,IRF4,protein_coding,0.759047414189188,NA,NA,GCST90013534/GCST006959/GCST002318/GCST90132222/GCST90132225,0.877640008926392/0.822912931442261/0.784509062767029/0.762929201126099/0.758909225463867,0.8229129,NA,0.87764,0.7845091,NA,0.7629292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7589092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,IRF4,3662,GWAS,1,363,47
0.473266085453858,ENSG00000056558,TRAF1,protein_coding,0.77317582301397,NA,NA,GCST000070/GCST90013534/GCST90132226/GCST90131438/GCST90131438/GCST006048/GCST90132223/GCST002434,0.842330038547516/0.798947870731354/0.793712139129639/0.776830196380615/0.776830196380615/0.743858456611633/0.740252315998077/0.636740446090698,NA,NA,0.7989479,NA,NA,NA,NA,NA,NA,NA,0.7768302,NA,NA,NA,NA,0.7438585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7937121,0.7402523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6367404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,TRAF1,7185,GWAS,1,167,21
0.472880884557053,ENSG00000154822,PLCL2,protein_coding,0.776417755622999,NA,NA,GCST90132222/GCST002318/GCST006959/GCST90132225/GCST90013534/GCST90132223/GCST90132226,0.84919548034668/0.84919548034668/0.84363204240799/0.841314256191254/0.833205223083496/0.74724406003952/0.74724406003952,0.843632,NA,0.8332052,0.8491955,NA,0.8491955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7472441,0.7472441,NA,NA,NA,NA,NA,0.8413143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,PLCL2,23228,GWAS,1,7,1
0.471260264345001,ENSG00000117586,TNFSF4,protein_coding,0.74272105965197,NA,NA,GCST90013534/GCST006048/GCST90132222/GCST90132226,0.861664235591888/0.539160966873169/0.527731895446777/0.513613939285278,NA,NA,0.8616642,NA,NA,0.5277319,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.539161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5136139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TNFSF4,7292,GWAS,1,135,25
0.470691829022129,ENSG00000133103,COG6,protein_coding,0.76001627932767,NA,NA,FINNGEN_R12_M13_RHEUMA/GCST90131438/GCST90131438/FINNGEN_R12_RHEUMA_SEROPOS_WIDE/GCST90255368/GCST002318/GCST90131437/GCST90132226/GCST90132223/GCST003620/GCST006959/GCST90132225/GCST90013534/GCST90132222/GCST90570209/GCST006048,0.793017566204071/0.790789365768433/0.790789365768433/0.779513895511627/0.772581577301025/0.768154919147491/0.759573400020599/0.754646003246307/0.751952648162842/0.751700401306152/0.741048097610474/0.621393859386444/0.621393859386444/0.621393859386444/0.609336495399475/0.609336495399475,0.7410481,NA,0.6213939,0.7681549,NA,0.6213939,0.7930176,0.7795139,NA,0.7595734,0.7907894,NA,NA,NA,NA,0.6093365,NA,NA,NA,NA,NA,NA,0.7725816,NA,NA,NA,0.754646,0.7519526,NA,NA,NA,NA,NA,0.6213939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7517004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6093365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,COG6,57511,GWAS,1,132,1
0.463848972160675,ENSG00000100321,SYNGR1,protein_coding,0.762996337713107,NA,NA,GCST90132225/GCST90132222/GCST90013534/GCST90132226/GCST006048/GCST90570209/GCST90018910/GCST011389/GCST002318/GCST006959/GCST90132224/GCST90132223/GCST90132227/GCST90132224/GCST90132227,0.796273231506348/0.787256479263306/0.787256479263306/0.787245512008667/0.782139122486115/0.781572759151459/0.781539857387543/0.770160496234894/0.759093523025513/0.758381903171539/0.752911806106567/0.742410361766815/0.719801187515259/0.623404204845428/0.616423845291138,0.7583819,NA,0.7872565,0.7590935,NA,0.7872565,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7821391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7872455,0.7424104,0.6234042,NA,NA,NA,0.7701605,0.7962732,NA,0.6164238,NA,NA,NA,NA,NA,NA,NA,0.7815399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7815728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,SYNGR1,9145,GWAS,1,39,1
0.463478286944197,ENSG00000182010,RTKN2,protein_coding,0.76238658867928,NA,NA,GCST90132224/GCST90132227/GCST90132224/GCST001681/GCST90132224,0.855675518512726/0.814971923828125/0.770423054695129/0.699272811412811/0.504924178123474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5049242,NA,NA,NA,NA,NA,NA,0.8149719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6992728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,RTKN2,219790,GWAS,1,4,1
0.461935044418817,ENSG00000109684,CLNK,protein_coding,0.75984807190822,NA,NA,GCST002318/GCST90132222/GCST006959/GCST90013534/GCST90132225,0.858623325824738/0.847079992294312/0.845788598060608/0.837114930152893/0.830071568489075,0.8457886,NA,0.8371149,0.8586233,NA,0.84708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8300716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,CLNK,116449,GWAS,1,19,0
0.459553535033296,ENSG00000134954,ETS1,protein_coding,0.751003306254959,NA,NA,GCST90132222/FINNGEN_R12_RHEUMA_SEROPOS_WIDE/GCST006959/GCST006048/GCST90013534/GCST002318/GCST90131438/GCST90131438/GCST90131437/GCST90132225,0.799202680587769/0.797331392765045/0.793368518352509/0.790452599525452/0.780229091644287/0.77144056558609/0.77144056558609/0.77144056558609/0.767244637012482/0.765350699424744,0.7933685,NA,0.7802291,0.7714406,NA,0.7992027,NA,0.7973314,NA,0.7672446,0.7714406,NA,NA,NA,NA,0.7904526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7653507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,ETS1,2113,GWAS,1,246,18
