score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST90472771,GCST90480460,GCST90480458,GCST90480461,GCST90476186,GCST90476187,GCST90476190,GCST90274859,GCST90014456,GCST90014457,FINNGEN_R12_L12_PSORIASIS,GCST90019017,FINNGEN_R12_PSORI_STRICT,GCST90019016,FINNGEN_R12_L12_PSORI_VULG,GCST000321,GCST000833,GCST90435380,GCST90478800,GCST90476188,GCST90476185,GCST002874,GCST003268,GCST011990,FINNGEN_R12_L12_PSORI_NAS,GCST90436607,GCST90436606,GCST90019015,GCST90436608,GCST002740_3,GCST000836,GCST005527,GCST90565134,GCST90018907,GCST90558097,GCST90473937,GCST90558096,GCST011991,GCST003097_2,GCST000322,GCST005537,GCST90624214,GCST90244705,GCST002738,GCST003269,GCST008479,GCST006036,GCST004346,GCST000834,GCST002889,GCST001473,GCST002740_2,GCST90435379,GCST011109,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.335199616897985,ENSG00000152804,HHEX,protein_coding,0.548642228461314,NA,NA,GCST011990/GCST005537,0.769515872001648/0.531835734844208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7695159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5318357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,HHEX,3087,GWAS,1,106,5
0.334315182696717,ENSG00000136040,PLXNC1,protein_coding,0.549923089947313,NA,NA,GCST90472771,0.904581725597382,0.9045817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,PLXNC1,10154,GWAS,1,32,0
0.334225746797994,ENSG00000173531,MST1,protein_coding,0.543347275369982,NA,NA,GCST005537,0.871540427207947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8715404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,MST1,4485,GWAS,1,25,0
0.333052711017004,ENSG00000179630,LACC1,protein_coding,0.547846419897576,NA,NA,GCST005537,0.81377100944519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.813771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,LACC1,144811,GWAS,1,39,4
0.332721037397116,ENSG00000140030,GPR65,protein_coding,0.546516445721795,NA,NA,GCST005537,0.898978054523468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8989781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,GPR65,8477,GWAS,1,56,3
0.332188534320058,ENSG00000187486,KCNJ11,protein_coding,0.546424914850716,NA,NA,GCST011991,0.898827493190765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8988275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,KCNJ11,3767,GWAS,1,150,5
0.331521061032898,ENSG00000178078,STAP2,protein_coding,0.543427188234118,NA,NA,GCST90472771,0.893896460533142,0.8938965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,STAP2,55620,GWAS,1,28,1
0.330618745856068,ENSG00000054654,SYNE2,protein_coding,0.542123543677973,NA,NA,GCST008479,0.891752064228058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8917521,NA,NA,NA,NA,NA,NA,NA,NA,1,SYNE2,23224,GWAS,1,80,0
0.328389950499895,ENSG00000180228,PRKRA,protein_coding,0.537744809714353,NA,NA,GCST002740_2,0.884549379348755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8845494,NA,NA,1,PRKRA,8575,GWAS,1,96,2
0.32833123947693,ENSG00000151151,IPMK,protein_coding,0.539252496366717,NA,NA,GCST005527,0.887029409408569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8870294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,IPMK,253430,GWAS,1,31,0
0.328194647254781,ENSG00000166263,STXBP4,protein_coding,0.539855273896569,NA,NA,GCST90476186,0.888020932674408,NA,NA,NA,NA,0.8880209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,STXBP4,252983,GWAS,1,35,1
0.327882851099878,ENSG00000145623,OSMR,protein_coding,0.536554219915835,NA,NA,GCST005537,0.88259094953537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8825909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,OSMR,9180,GWAS,1,88,8
0.32786804231534,ENSG00000115604,IL18R1,protein_coding,0.517986606572945,NA,NA,GCST005537,0.852048635482788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8520486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,IL18R1,8809,GWAS,1,137,23
0.325929984168789,ENSG00000081985,IL12RB2,protein_coding,0.527868103732055,NA,NA,GCST002740_3,0.67993825674057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6799383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,IL12RB2,3595,GWAS,1,140,19
0.325738614307878,ENSG00000153064,BANK1,protein_coding,0.529583995517593,NA,NA,GCST005537,0.871125459671021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8711255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,BANK1,55024,GWAS,1,51,4
0.325256559515203,ENSG00000168685,IL7R,protein_coding,0.512806415837142,NA,NA,GCST90565134,0.843527615070343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8435276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,IL7R,3575,GWAS,1,454,34
0.325115153257899,ENSG00000100365,NCF4,protein_coding,0.534181809309616,NA,NA,GCST90472771,0.878688514232635,0.8786885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NCF4,4689,GWAS,1,165,9
0.325060263304589,ENSG00000143184,XCL1,protein_coding,0.534091519504386,NA,NA,GCST90472771/GCST90019017,0.725752294063568/0.611150801181793,0.7257523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6111508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,XCL1,6375,GWAS,1,144,8
