score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST90239776,GCST004045,GCST90455657,GCST90475983,GCST90274223,GCST90162626,GCST90399714,GCST90480182,GCST009541,GCST90475981,GCST90473575,GCST90085925,GCST90475200,GCST90479544,GCST90399713,GCST90479545,GCST90475201,GCST90475982,GCST90480181,GCST90480184,GCST90668077,FINNGEN_R12_I9_HEARTFAIL_AND_OVERWEIGHT,FINNGEN_R12_I9_HEARTFAIL,GCST90399716,GCST90018806,GCST90668076,GCST004044,GCST90473547,GCST90043962,GCST90480183,GCST90477878,GCST90475984,GCST90480140,GCST90477961,GCST90477955,GCST90018586,GCST90436127,GCST90399715,GCST90399712,GCST90480139,GCST90477957,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.469946558532807,ENSG00000091732,ZC3HC1,protein_coding,0.772418473489006,NA,NA,GCST90668076/GCST90455657/GCST90668077,0.933780610561371/0.932646811008453/0.932646811008453,NA,NA,0.9326468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9326468,NA,NA,NA,NA,0.9337806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,ZC3HC1,51530,GWAS,1,37,7
0.468951769975793,ENSG00000162613,FUBP1,protein_coding,0.771390052647711,NA,NA,GCST90455657/GCST90480184/GCST90475981,0.932488441467285/0.932488441467285/0.929407596588135,NA,NA,0.9324884,NA,NA,NA,NA,NA,NA,0.9294076,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9324884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FUBP1,8880,GWAS,1,151,0
0.468699444801725,ENSG00000196141,SPATS2L,protein_coding,0.770974996896201,NA,NA,GCST90239776/GCST90274223/GCST90455657/GCST90399713/GCST90668077/GCST90668076,0.85682201385498/0.855490505695343/0.851822793483734/0.851822793483734/0.73230117559433/0.731618583202362,0.856822,NA,0.8518228,NA,0.8554905,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8518228,NA,NA,NA,NA,NA,0.7323012,NA,NA,NA,NA,0.7316186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,SPATS2L,26010,GWAS,1,42,0
0.46497162595581,ENSG00000151617,EDNRA,protein_coding,0.619042179935801,NA,NA,GCST90668077,0.863732159137726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8637322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,EDNRA,1909,GWAS,1,127,5
0.464470714115758,ENSG00000138829,FBN2,protein_coding,0.762499229024394,NA,NA,GCST90668077/GCST90668076/GCST90475983,0.942061901092529/0.937361657619476/0.700659155845642,NA,NA,NA,0.7006592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9420619,NA,NA,NA,NA,0.9373617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FBN2,2201,GWAS,1,98,1
0.459302482374722,ENSG00000186510,CLCNKA,protein_coding,0.750267132323559,NA,NA,GCST90475983/GCST90162626/GCST90239776/GCST90480182/GCST90480181/GCST90455657/GCST90480184/GCST90477961,0.860927820205688/0.735746622085571/0.666377663612366/0.666377663612366/0.666377663612366/0.657016813755035/0.64099246263504/0.631736814975739,0.6663777,NA,0.6570168,0.8609278,NA,0.7357466,NA,0.6663777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6663777,0.6409925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6317368,NA,NA,NA,NA,NA,NA,NA,6,CLCNKA,1187,GWAS,1,27,1
0.454868183922226,ENSG00000105974,CAV1,protein_coding,0.730325594372919,NA,NA,GCST90455657/GCST90668076/GCST90668077,0.882609903812408/0.882609903812408/0.882609903812408,NA,NA,0.8826099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8826099,NA,NA,NA,NA,0.8826099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,CAV1,857,GWAS,1,500,17
0.453080450217154,ENSG00000154229,PRKCA,protein_coding,0.723046705926737,NA,NA,GCST90455657/GCST90239776/FINNGEN_R12_I9_HEARTFAIL_AND_OVERWEIGHT,0.893690288066864/0.893359363079071/0.65094119310379,0.8933594,NA,0.8936903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6509412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,PRKCA,5578,GWAS,1,458,6
0.448581421696123,ENSG00000130203,APOE,protein_coding,0.716781657559574,NA,NA,GCST90668077/GCST004045,0.957775831222534/0.885102272033691,NA,0.8851023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9577758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,APOE,348,GWAS,1,500,24
0.440143098109138,ENSG00000111252,SH2B3,protein_coding,0.723090078762458,NA,NA,GCST90239776/GCST90399713/GCST90162626/GCST90399714,0.847999513149261/0.821443915367126/0.703169882297516/0.645399272441864,0.8479995,NA,NA,NA,NA,0.7031699,0.6453993,NA,NA,NA,NA,NA,NA,NA,0.8214439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,SH2B3,10019,GWAS,1,100,3
