ARI,p.value,method
0.16,0.0057,complete
0.22,1e-04,single
0.27,0.00015,average
0.01,0.33,centroid
0.03,0.22,median
0.26,0.00015,mcquitty
0.52,5e-05,ward.D
0.39,5e-05,ward.D2
